language,text,true_label
Korean,미술 수업은 매주 금요일이에요.,1
Chinese,蒂亚戈和我还没有十二岁。,1
English,I have a math class soon!,1
Korean,엄마가 바닥을 닦았어요.,1
English,We are new students.,0
English,My boyfriend was in Mexico last winter.,0
Chinese,过敏,0
English,Why are Mondays so stressful?,0
Chinese,我的新同学,1
Spanish,¿Y nuestras calificaciones?,1
English,My uncle is filming a famous movie star.,0
Italian,Quella è la mia palla!,1
English,My wife and I grilled fish and watched a movie.,0
English,"Grandpa, do you need any envelopes?",0
Spanish,la sandía de papá,0
English,We learn languages at school.,1
Chinese,好吃的三明治,0
Italian,Papà me li regala con amore.,0
Korean,새 핸드폰은 얼마나 비싸요?,0
Italian,Ce lo vogliono portare.,0
English,My husband likes the new blankets better.,0
English,Tiago and I haven't turned twelve yet.,1
Italian,"Le piace il vino italiano, vero?",0
Chinese,因为我们的老师现在不在这里!,1
English,We are also twelve years old.,1
Italian,Mia madre colorava vestiti per lavoro.,0
Spanish,Vine aquí porque mi papá me lo recomendó.,0
Korean,저 여자 배우는 캐나다 사람이에요?,0
Chinese,没有厕所。,0
Spanish,"Soy joven, tengo trece años.",1
Italian,Si lavano i denti dopo colazione.,0
Spanish,"Lo siento, señor.",0
Chinese,外婆需要餐具。,0
English,Why is he your favorite player?,0
Korean,큰 택배가 할머니 댁에 도착했어요.,0
Spanish,Estudio chino en la escuela.,1
Spanish,"Pero, abuela, ¡no nos gusta el café con crema!",0
Chinese,她是我的新同学。,0
Spanish,¿Qué necesitas para la clase de arte?,0
Spanish,¿Dónde está la casa de tu abuelo?,0
Italian,Il mio orecchio è stanco dopo tante canzoni.,0
English,Here's some information about the position.,0
English,"That watch is old, and it's broken.",0
English,Grandma's birthday is next month!,1
English,"Yes, my boyfriend was in Paris last May.",0
Italian,Ci sono molti cimiteri antichi in Toscana.,0
Spanish,Me gusta la historia de la cita de mamá y papá.,0
Spanish,soltar el bolso,0
English,My parents always sit together.,0
Spanish,No hay ningún teléfono en mi oficina.,0
English,Where is mom?,0
Chinese,我妻子在桌子旁边看报纸。,0
Chinese,你想吃什么菜?,0
English,He just put the blanket in the sun.,0
Italian,Il mio orso è più bello!,1
English,We start school at eight every day.,1
Korean,"음, 아직 열 살이 아니야!",1
Spanish,No entendí el brindis.,0
English,Is science the first class on Tuesday?,1
Spanish,Es que no sé cómo me siento.,0
Spanish,Gracias.,1
Chinese,我妈妈是药剂师。,0
Chinese,"妈妈,我可以只擦窗户吗?",1
English,Laura is my mom.,0
Spanish,"Abuela, esa es una especia exótica.",0
English,I study French and Spanish at school.,1
Italian,"Quando compio diciotto anni, voglio una festa.",1
Chinese,"老实说,我今年十三岁。",1
Italian,Impariamo insieme l'alfabeto italiano?,0
English,Let's share a snack.,0
Chinese,我叫孙丽丽。,0
Spanish,Ella es mi nueva maestra.,1
English,"Mom, Tom is kicking my chair!",1
English,My mom goes to the pharmacy every day.,0
Italian,Mi lavo sempre dopo la palestra.,0
Korean,고양이가 싱크대에 있어요!,0
Korean,이제 식사해요.,0
Italian,Non posso votare quest'anno.,1
Spanish,¿Quién está usando ese escritorio?,0
Chinese,人,0
English,"Grandma, thank you for the meal!",0
English,"Yes, I am thirteen years old.",1
Korean,제 새 동료는 서른 살입니다.,0
Chinese,"不,我妈妈不强壮。",1
Chinese,"姐姐,我可以去动物园吗?",1
English,My wife likes basketball and hockey.,0
Korean,감사합니다.,0
Chinese,"白,红,蓝",0
Spanish,"Abuela, ¿cuál es tu nombre y dirección?",0
English,It'll feel better tomorrow.,0
Korean,저는 더 짧은 치마를 원했어요.,0
Chinese,这件大衣三百七十块。,0
Spanish,Mis abuelos son morenos.,0
Korean,일요일에 엄마랑 같이 그냥 교환하러 갈 거예요.,1
Spanish,Mamá va a la cocina.,0
Chinese,"父亲,你系上腰带了吗?",0
Italian,Posso prendere in prestito il tuo gioco?,1
Italian,Il condizionatore è rotto.,0
Korean,친구랑 저는 인천 바다에서 산책해요.,0
English,I love cute animals!,0
Korean,민준 씨랑 저녁을 먹으러 식당에 가요!,0
Spanish,¿El cumpleaños de su abuelo es en marzo?,0
English,"Well, I'm not ten years old yet!",1
English,This dress costs twenty dollars.,0
Spanish,Mi mamá también lloró.,0
English,I'm going home with my grandfather.,1
English,I finished all my homework for this week!,1
Spanish,"Bueno, ¡todavía no tengo diez años!",1
Italian,Posso avere del cioccolato?,1
Chinese,苹果、橙子,0
Spanish,Mis padres son españoles.,0
Italian,il giornalista giovane,0
Chinese,"我十四岁,你呢?",1
Italian,Vieni alla festa con la manager?,0
Chinese,"爸爸,我想买一个玩具!",1
English,Dad will not like the rides.,0
English,a piece of pizza,0
Chinese,我和姐姐可以去公园吗?,1
Chinese,银行在下一个路口。,0
Chinese,我的爸爸是中文老师。,0
Spanish,"Sí, está bueno.",0
Spanish,Este maestro trabaja siempre con nuestra maestra.,1
English,I am 17 years old.,1
Chinese,谢谢你来我姐姐家!,0
English,My uncle is a famous photographer.,0
Spanish,Nuestra madre también usó un portabebés.,0
Italian,Hai mai colorato con mia nonna?,1
Chinese,"安娜,你也有公交卡吗?",0
Spanish,"Mi esposo es tímido, como yo.",0
Korean,남자 친구가 커피를 좋아해요.,0
Chinese,吃面包。,0
Spanish,Mi hermana tiene la nariz de nuestra abuela.,0
Chinese,爸爸的生日是下个月。,0
Spanish,"Abuela, ¿tienes la lista de la compra?",0
Spanish,"En realidad, tengo trece años.",1
Spanish,La cena no es hoy.,0
Korean,우리 아이가 한 달 동안 많이 컸어요.,0
Chinese,美术课需要什么?,1
Korean,화요일은 시간표가 너무 길어요!,1
Chinese,我跟民俊先生说话了!,0
English,my grandmother,0
Spanish,Voy a casa de mi abuela.,0
Chinese,这个男老师总是跟我们的女老师工作。,0
Spanish,La ropa interior es cara.,0
Spanish,Les propongo ir juntos.,0
Chinese,这是我的爸爸。,0
English,Is Sara your coworker?,0
Spanish,"Sí, nuestro maestro es simpático.",1
Spanish,"Sí, yo bailo salsa con mi novio.",0
Italian,Non laviamoci da soli.,1
English,"Grandpa, your passport is over there!",0
Chinese,我奶奶用它们做她著名的食谱。,0
Chinese,真的吗?我也有一个新老师。,1
Spanish,¿Vivías aquí antes?,0
English,Today I have history class.,1
Spanish,"En abril, quiero tomar fotos con mi tío.",0
Spanish,Mañana la primera clase es de matemáticas.,1
English,The math class will end soon.,0
Chinese,我马上有数学课!,1
Italian,Partecipavo sempre alle gare di nuoto.,0
Italian,Il ministro ha avuto un'idea interessante.,0
Korean,우리 엄마는 매일 장을 봐요.,1
Chinese,大型快递已经送达奶奶家。,0
Spanish,Me disculpé con mi mamá.,0
Italian,Mia nonna ha spesso mal di pancia.,1
