language,text,true_label
Korean,제 아이의 배가 아파요.,1
Chinese,"风太大了,我的伞坏了!",1
English,"When Max was 16, his classmate told Max's parents that Max was gay. Max was angry. He wanted to tell them himself when he was ready.",1
Korean,"야옹 씨, 지금 어지러워요?",1
English,That's great.,0
English,Please tell us more stories!,0
Chinese,沙发,0
English,My mom is a nurse.,0
Chinese,你为什么过敏了?,1
Spanish,"Ay, sí, estoy cansado y enojado.",1
English,David seems angry today.,1
Italian,È stato tirchio anche con i regali.,1
English,They aren't my friends.,0
English,"Yes, I study English at school.",0
Spanish,Alguien tuvo un problema con su oreja.,1
English,The soldiers were too busy to relax.,1
Chinese,老师也担心了。,1
Italian,Sto cercando un gelato non troppo aspro.,0
Korean,된장찌개가 정말 따뜻해요!,0
Italian,Il continente africano è molto grande.,0
English,Grandma drank red wine.,0
English,Why did she need surgery?,1
Italian,Il menù non dice che c'è latte.,0
Chinese,钢琴老师不太友好。,1
English,They do not like the government.,1
Italian,una cotoletta buona,0
Spanish,"Sabes, tenía muchos problemas.",1
Korean,남대문에서 만나요.,0
Chinese,安德鲁感觉不舒服吗?,1
Spanish,una crisis económica,1
Italian,Questa borsa pesa abbastanza.,0
Spanish,Mi sobrino dibuja tan bonito como su prima.,0
Chinese,"对不起,我没听清楚。",1
English,Don't edit the photo.,0
Korean,재채기 소리,0
Spanish,Él vivió la guerra de niño.,1
Spanish,Yo elijo a ese candidato.,1
Chinese,我经常帮助安娜。,0
Spanish,Prefiero charlar sobre la vida.,0
Spanish,Necesitamos una ambulancia.,1
Italian,Il tostapane vecchio non funziona bene.,0
English,The other stage is bigger than this.,0
English,Are they at work today?,0
English,My boyfriend fell off a mountain!,1
English,I'm not too good at math either!,0
Italian,Mio fratello è sempre stato estroverso.,0
Spanish,Lastimé mi pierna mientras corría.,1
Spanish,Nosotros preparamos platos vegetarianos.,0
English,The real problem in this country today is the media.,1
Spanish,comida en tailandia,0
English,The medicine sometimes causes anxiety.,1
Chinese,英文老师和医生,0
Chinese,我以前每天都吃拉面。,0
English,"Thank you, I'm full.",0
Italian,Hanno deciso di uccidere il progetto.,1
English,I'm so tired.,1
Korean,저런 실수를 하지 마세요.,1
Spanish,Ella es María.,0
English,He badly needed some medicine.,1
Spanish,No conocía a la estrella principal.,0
Spanish,¿Votaste por ese candidato?,1
Chinese,他的腿也受伤了吗?,1
Chinese,那个搞笑的演员感到孤独。,1
English,"I wanted to be a princess, but the dress didn't fit.",0
Spanish,¿Has dicho que me duele la cabeza?,1
English,There was a war two centuries ago.,1
Italian,Questo è davvero rotto!,1
Chinese,我的朋友手受了点伤。,1
Italian,Il mio amico conosce una modella famosa.,0
English,We ate lots of turkey.,0
Chinese,你喜欢数学吗?,0
Spanish,"El héroe valiente volvió sano, no muerto.",1
English,My neck hurts.,1
English,The teacher gave me a bad grade.,1
Italian,Te lo darò con amore.,0
Korean,라면은 맛없어요?,0
Korean,오늘 오후에 친구랑 커피를 마실 거예요.,0
Italian,"Riposati, sei troppo stanco.",1
Spanish,¡Está nevando!,0
Chinese,这个商场的服务太差了。,1
English,"I'm sick, and I need soup.",1
English,There were many soldiers in the war.,1
Korean,우리 학교의 창문이 고장났어요.,1
Chinese,完全不想吃。,1
Chinese,"哎呀,你过敏了!",1
English,I didn't go.,0
Korean,열다섯 살,0
Chinese,"美式咖啡太苦了,我不喝。",0
Spanish,"Lo siento, esa no es mi tarea.",1
English,Who just scored a goal?,0
Korean,이것은 학생증이 아니에요.,0
Chinese,"博拉,今天的游戏容易吗?",0
Spanish,¿Qué hago si choqué con una ambulancia?,1
Korean,아이의 머리에 상처가 있어요.,1
Spanish,las hamburguesas,0
Chinese,横滨的动物园有狮子宝宝。,0
Italian,una ladra veloce,1
Italian,Ci siamo raccontate storie spaventose.,0
Korean,저는 이 걸그룹 팬이에요.,0
English,Is your hat new?,0
Korean,꽃을 같이 심을까요?,0
Spanish,La sociedad votó ayer.,1
English,He had surgery thirty minutes ago.,1
English,a helpful secretary,0
Spanish,¡No vamos a encontrar las maletas!,0
English,"These newspapers always agree with the government. Shouldn't the media check what the government says, instead of just repeating it?",1
English,There has been a protest every week for the past two months.,1
Spanish,La sopa es muy mala.,1
Italian,una guerra famosa,1
Chinese,这个排骨汤很咸!,0
Spanish,Está asustado.,1
Italian,"Dopo il pianoforte, imparerò qualcos'altro.",0
Chinese,我非常生气。,1
Italian,Ho mangiato la pizza il mese scorso.,0
Chinese,孩子在医院里哭。,1
English,The stores are upstairs.,0
English,We go to the market every week.,0
Chinese,我头有点痛。,1
Chinese,"小健,你女朋友是个非常有活力的人啊!",0
Chinese,我把眼镜弄丢了。,1
Spanish,Nosotros preferimos bailar toda la noche.,0
Spanish,"¡Ay, pero qué desastre!",1
English,My child feels sick a lot.,1
Chinese,她有男朋友吗?,0
English,"After we speak about the trouble in the city, we will speak about the new president.",1
Spanish,"No hay carne, es un restaurante vegetariano.",0
Italian,Mario non viene perché ha la febbre.,1
Chinese,Alex和我总是吃纯素的。,0
Spanish,¡Béisbol no!,0
Korean,"아니요, 민준 씨는 서른 살이에요.",0
Chinese,闵俊在婚礼上穿了白色的西装。,0
Spanish,Es muy irresponsable.,1
Chinese,喵喵先生的爪子又热又有很多伤口!,1
Spanish,"Cuando era niño, el atún me parecía horrible.",0
Spanish,Mis amigos están tristes.,1
Spanish,Ella sabe tanto como él sobre política.,0
Korean,화장실이 오른쪽에 있어요.,0
Chinese,民俊今天有点喉咙痛。,1
Korean,어제 마음이 불안했어요.,1
Chinese,我的邻居是音乐家。,0
English,Do you have pain in your elbow?,1
Spanish,¿Entiendes la nueva ley?,1
Chinese,你为什么感到不安?,1
Spanish,¿Tú qué opinas de eso?,0
Spanish,"Muchísimas gracias, los guantes son suyos.",0
Chinese,我的脚被稍微咬了一下。,1
English,What's your plan for the weekend?,0
Spanish,No quiero caerme otra vez.,1
Spanish,¿Cuándo es el próximo evento?,0
Italian,"Quello non è tuo, è mio!",1
English,He's not in a great mood.,1
Chinese,宝拉的食物辣吗?,0
Chinese,民俊在山上伤到了手。,1
Spanish,Le gustan los artistas.,0
English,I'll make sure she's OK.,1
Spanish,El champú anterior olía mejor.,0
Spanish,¿Hay un médico para mi dedo del pie?,1
English,I'm usually a calm person.,0
Chinese,穿黑色的裙子。,0
Italian,Lo devo riparare subito.,0
Italian,Hai visitato Capri la settimana scorsa?,0
Korean,손님 앞에서 저런 말을 하지 마세요.,1
Chinese,"怎么办,我没有给老板发邮件。",1
Spanish,Los nietos corren más rápido que yo.,0
Italian,Non è simpatico per niente.,1
English,We prepare vegetarian dishes.,0
Italian,Marco porta sempre il deodorante.,0
Spanish,"De todas maneras, ella ha probado comida exótica.",0
Spanish,Estás ansiosa y enojada.,1
Korean,이 차는 비싸요.,0
English,There are no pots in the cabinet.,0
English,forks and knives,0
Spanish,¿Está bien después de atrapar al ladrón?,1
English,Are they here yet?,0
Spanish,Ese chisme es muy feo.,1
Chinese,我非常喜欢坐地铁!,0
English,I'd like to ask for a promotion.,0
Korean,저랑 같이 쇼핑을 가요!,0
English,There are comic books on that bookshelf.,0
English,"She didn't mean it, but it hurt my feelings.",1
English,"When I'm in pain, I can't think.",1
Spanish,"Cuando uso el codo, siento dolor.",1
Spanish,robo en la casa verde,1
Spanish,Hace una semana cocinamos algo diferente.,0
English,We have wine.,0
Spanish,"Chicos, prefiero salir mañana.",0
Chinese,这件黑色的夹克多少钱?,0
Korean,저는 병원 예약을 했어요.,1
Chinese,你最好坐高铁来成都。,0
Spanish,Vi una araña grande ayer.,0
Spanish,"Qué pena, ¡están muy estresadas!",1
Spanish,Un dedo no se mueve.,1
Italian,"Mi sono persa, dov'è la stazione?",1
English,a glass of water,0
Chinese,我的房子,0
Chinese,他的头发总是特别乱。,0
Chinese,你们不可以玩手机游戏。,0
Italian,Non devi mentire per comprare quelle scarpe.,1
Chinese,写信。,0
Chinese,"因为很晚,所以我们差不多该去了吧!",0
Spanish,"Disculpe, ¿las hamburguesas llevan queso?",0
Korean,빨리 그만두고 싶어요.,1
Chinese,"糟糕,经理的车坏了!",1
Korean,허리가 아프고 열이 나요.,1
Chinese,"嗯,我感冒了。",1
Spanish,¿Está él viudo también?,1
English,Someone destroyed the place!,1
English,"I want to cook soup, but I'm too sick.",1
Chinese,酸奶很健康。,0
Spanish,Hoy he escrito una lista de preguntas.,0
Korean,"이런, 너무 늦었어요!",1
