language,text,true_label
Korean,형의 책,1
Chinese,他没穿上衣。,0
English,Who's planning the trip next month?,0
Korean,"누나, 사랑해요!",1
English,They often cook together.,0
English,"My wife is really tall, so we need a big bed.",0
Chinese,我没穿高跟鞋。,0
English,I'm an actress at the theater downtown.,0
Chinese,我今天不想化妆了。,0
Spanish,"Estoy confundido, ¿dónde tengo que doblar?",1
English,"Now, my wife would really like that!",0
Italian,Sono allergico a questo piatto.,1
English,We both study at that university.,0
English,He has played the piano since nineteen sixty.,0
Spanish,"Mi esposo es de Francia, como yo.",0
English,My wife likes to swim.,0
Chinese,是的，我是学生。,0
Italian,una bugia,0
Korean,우리 아들은 고기를 안 먹어요.,0
Italian,Troviamo la musica troppo forte.,0
English,What kind of gift does mom like?,0
English,My wife is a sweet woman.,0
Italian,Hanno camminato per ore al centro commerciale.,0
Chinese,哥哥喜欢韩国语说唱吗?,0
English,"Hi, I am Max.",1
Italian,È diventato collega di Anna.,0
Spanish,"Es cierto, tengo un bigote muy lindo.",1
Korean,"민준 씨, 잡채 드릴까요?",0
Chinese,她在农村长大。,0
Spanish,Somos hombres.,1
Italian,Gli anziani del piano di sopra ci aiutano con le piante.,0
Spanish,El policía ha recibido un paquete extraño.,0
Chinese,我喜欢那件旧外套。,0
English,I need something special for my girlfriend.,0
Korean,식탁 앞에서 남편이 신문을 읽어요.,0
Spanish,El brócoli no me gustaba de niño.,1
Spanish,"Ayer, te encontré la camiseta, gemelo.",1
Chinese,我得到了百货商店的礼品卡。,0
Spanish,Yo te busqué por toda la casa.,0
Spanish,¡Porque nuestra maestra es excelente!,0
Italian,Dovrai controllare i documenti.,0
English,My wife woke up before me yesterday.,0
English,A big package arrived at my grandmother's house.,0
English,Tom starts work early.,0
English,My wife likes basketball and hockey.,0
Italian,diventare una modella,0
Spanish,La falda es mía.,0
Spanish,¡Tengo muchos juguetes!,0
English,Is this the homework?,0
Spanish,"Ay, mi jefe no es un hombre trabajador.",0
English,I'm lying down.,0
Chinese,因为我的车坏了，所以我不能去派对。,0
Chinese,我想看那个公寓。,0
