language,text,true_label
Korean,이것들은 제 손주들입니다.,1
Chinese,我和安娜十三岁。,0
English,"Mom, Tom is kicking my chair!",0
Korean,그들은 내 손자들이야.,1
English,Everything is terrible!,0
English,Don't forget your keys.,0
Chinese,有一个孩子。,0
English,"Grandpa, do you need any envelopes?",0
Chinese,我老公特别生气。,0
Spanish,Nosotros todos tenemos un nuevo maestro.,0
English,Our granddaughter took some great photos.,1
Italian,Adesso abbiamo tre figlie e nove nipoti.,1
English,I want another doll!,0
English,I can never remember the number!,0
Spanish,"Sí, yo tengo una tía.",0
English,On Tuesdays or Wednesdays?,0
Chinese,我男朋友不会打麻将。,0
Italian,Non le spiego più niente.,0
Korean,작은 상처,0
Italian,Andate da vostra zia questo fine settimana?,0
English,I'll come again for Grandma's birthday.,0
English,I always send cards to my grandchildren.,1
Italian,imparare l'alfabeto,0
Chinese,"祖母,快递已经到达了。",0
English,Amy is our granddaughter.,1
Italian,Quando posso rispondere al messaggio?,0
Spanish,Quiero una blusa barata.,0
Korean,내 할머니,0
Chinese,请给我饭。,0
Spanish,Mis nietos tienen más juguetes que yo tenía.,1
Italian,Perché ti senti così male?,0
Spanish,"Gracias por la receta, es muy útil.",0
Chinese,我的孙子们非常高。,1
English,Mom is not happy about my grades!,0
Korean,여자 친구랑 이따가 여행을 가서요.,0
Spanish,un ejército grande,0
Spanish,Los tenedores no son suyos.,0
Chinese,我想远离奇怪的人。,0
Spanish,Tú a veces necesitas meditación.,0
Spanish,Mi esposo es tímido.,0
Italian,riparare la macchina,0
English,I'd like to open a bank account here.,0
English,The friend who invited me is named Kevin.,0
English,I have a dog.,0
English,My husband is a handsome lawyer.,0
Italian,Hanno arrestato il ladro ieri.,0
Spanish,"No, mi novio no patina bien.",0
Spanish,"Para ti, ¿el queso procesado es saludable?",0
English,Could you repeat your address?,0
Spanish,"Necesito un cuchillo, por favor.",0
English,Let's open the curtains.,0
Chinese,"是的,我会跳三个小时的芭蕾舞。",0
Chinese,我的女朋友来自巴勒莫。,0
English,cupcakes in the oven,0
Italian,Amy è nostra nipote.,1
English,They often cook together.,0
Korean,저는 증조부모입니다!,1
Spanish,"En realidad, yo tengo una hija.",0
English,Are your hands clean?,0
Spanish,"Guau, ¡la clase es muy interesante!",0
Spanish,Siempre los olvido.,0
Chinese,是三点半。,0
Chinese,这些是我的孙子孙女们。,1
English,Which activity starts at six a.m.?,0
Spanish,Los nietos comen más dulces que frutas.,1
English,Grandpa still hikes faster than us!,0
Italian,Purtroppo i miei nipoti abitano lontano.,1
Chinese,我喜欢那件旧外套。,0
Italian,Non voglio traslocare in una casa vecchia.,0
English,My husband is a scientist.,0
Chinese,我想邀请我的女朋友。,0
Spanish,Hay animales peligrosos aquí.,0
English,I'm sending this to my grandchildren.,1
English,My children will not sleep tonight!,0
Italian,Mi lavo sempre dopo la palestra.,0
Korean,카레는 얼마예요?,0
Korean,"민준 씨, 잡채 드릴까요?",0
Italian,Sono i miei nipoti.,1
Spanish,No hiervo nada ahora.,0
Chinese,"吃饭的时候,别看电视!",0
English,I have twelve grandsons!,1
English,When will my grandchildren receive this?,1
Korean,이것은 제 손주를 위한 선물이에요!,1
Chinese,今天的孙子们有很多科技产品。,1
Chinese,我把杂志放到地下室了。,0
English,my school,0
Korean,운동화는 여기에 많아요.,0
Chinese,"民俊,会议在五分钟后吗?",0
