language,text,true_label
Korean,가을에 아내랑 공원 길을 함께 걸었어요.,1
Chinese,安娜走出了洗手间。,0
English,Many people like wearing our makeup.,1
Korean,제 차는 정말 튼튼해요!,1
English,What happened to the bad guy?,0
English,I missed the event.,0
Chinese,好多奖。,0
English,These blue gloves are nice.,0
Chinese,听起来那时候的流行音乐更具政治性。,1
Spanish,Te lo buscaré en la sala de reuniones.,1
English,I want to get this lamp for my office.,1
Italian,Mi aiuti a scaricare quel documento?,1
English,I don't know if my grades are good enough.,0
English,Can you take the paper with the address out?,0
Spanish,Mis hijos son inteligentes.,1
English,"He cancelled our date, but I don't care! I didn't want to go on a date anyway.",1
Chinese,宝拉在编织吗?,0
Italian,Nessuno di noi ha fame.,0
Korean,"할머니, 저것은 매운 제품이에요!",0
Italian,L'anziano vive da solo vicino alla mia casa.,0
English,I have a dog and three cats.,0
English,I have my daily coffee at the table.,1
Italian,Cominciamo a imparare il francese lunedì.,0
Chinese,这位是厨师中最厉害的。,1
English,Your son-in-law is the man who is married to your son or daughter.,1
Italian,una pausa veloce,0
Spanish,Yo siempre camino al trabajo.,1
Korean,마늘을 좀 샀어요?,0
Chinese,不喜欢公司。,1
Spanish,Los ciudadanos deben participar más.,1
Italian,Le dico di riposare bene.,0
Spanish,"¿Qué tal, Ana?",0
Chinese,请给我蛋糕或者茶。,1
English,Nice to meet you.,0
Korean,치킨이랑 팝콘을 드렸어요!,0
Spanish,Ella lo quiere investigar mañana.,1
Spanish,Siempre soñaba con ser profesora de derecho.,1
Chinese,地铁比较快。,0
Spanish,Siempre los olvido.,0
Spanish,"Sí, mi sobrina es muy morena.",1
Italian,I miei figli adorano i cereali al cioccolato.,1
English,That sounds awesome!,0
English,Tom starts work early.,0
English,Ben and Peter love each other. They are gay.,1
English,Apples were on sale at the supermarket.,0
Italian,Prendo il gelato al limone.,0
Spanish,Ella quiere entrevistarme sobre el crimen.,1
Spanish,la casa mediana,0
English,My grandson sometimes watches TV with his boyfriend.,1
Spanish,¿Quién te advirtió sobre la bruja?,0
English,Will there be champagne?,1
Chinese,民俊突然紧张了。,0
Chinese,救护车很快就会来。,1
English,How much is this green shirt?,0
Italian,L'altroieri ho venduto molti oggetti.,1
English,You look like my next boyfriend.,1
Korean,남편이 소파 앞에서 책을 읽어요.,1
Spanish,Ella prefiere trotar por las mañanas.,0
English,We'll hire a secretary.,1
Spanish,¿Quieren hacer una actividad?,0
Spanish,Él es muy chismoso en las reuniones.,1
Chinese,"是的,我女儿很高兴。",1
Chinese,他在五个月中长大了很多。,1
English,I saw Tom on Christmas.,0
Spanish,Él abrió un nuevo mercado.,1
English,That politician isn't as old as we thought. He's only forty! I guess a stressful job in politics gives you gray hair quickly!,1
Italian,Mi dici di nuovo quale clinica devo visitare?,1
Chinese,我没穿高跟鞋。,1
Italian,Non voglio traslocare in una casa vecchia.,0
English,We sent ourselves emails.,0
Chinese,加拿大的冬天非常暗。,0
Spanish,¿El bar está por aquí?,1
English,I can be your secretary this week!,1
English,Is there some candy in my beard?,1
Italian,Ti trucchi sempre per gli eventi speciali?,0
Korean,점심 때 모임이 있어요.,0
Korean,언니랑 같이 한복을 입을 거예요.,0
Italian,"Sì, ho fatto sci per anni quando ero giovane.",1
Spanish,"Tengo catorce años, ¿y tú?",0
Chinese,我的男朋友来自罗马。,1
English,The president has had to explain her decisions.,1
English,That actor plays the woman whose husband dies in the war.,1
Korean,"보라 씨, 고기를 잘 구워요?",1
Chinese,"从九月开始,我会住在那家公司附近。",1
Chinese,我老公每天都加班。,1
English,I often write about cats.,0
Korean,"왜요, 뭐가 이상해요?",0
Chinese,我们是九点三刻到的酒店。,0
