language,text,true_label
Korean,"보라 씨, 어떤 소시지를 샀어요?",1
Chinese,那肉甜吗?,1
English,This chicken needs more sauce.,1
Korean,이것은 매운 치킨이에요!,1
English,This hotel does not have large rooms.,0
English,I'm good at geography.,0
Chinese,"我的女朋友不喜欢我的歌,我很伤心。",0
English,"Wow, that is so cool!",0
Chinese,"老板,来一碗排骨汤。",1
Spanish,Comimos pavo y bebimos té.,1
English,I don't like fish.,1
Italian,Hai provato il panettone l'anno scorso?,1
English,I ran faster during practice.,0
English,What are you afraid of?,0
Spanish,"Si quieres queso, este es excelente.",0
English,The cheeseburgers that Amy made are yummy!,1
Chinese,也请给我煮鸡蛋!,1
Italian,"Non piangere, la festa sarà fantastica.",0
Korean,손님이 직원한테 가끔 화내요?,0
Italian,Chi abita al settimo piano del nostro palazzo?,0
English,I was sick until then.,0
English,My parents love chicken with rice.,1
Italian,Ho vissuto a Roma per un anno.,0
Chinese,爆米花还是鸡肉,0
English,beef and rice,1
Italian,Andiamo in Tunisia per le vacanze?,0
Spanish,Quiero otra hamburguesa.,1
Korean,도서관에서 공부해요.,0
Chinese,我最喜欢烤肉和紫菜包饭!,1
Spanish,¡La carne es excelente también!,1
Italian,mal di pancia,0
Spanish,¿Estás tranquila?,0
Chinese,我可以给你鸡肉吗?,1
English,"Sorry, I've already sold your boots.",0
Korean,이것은 핸드폰이 아니에요.,0
Spanish,Ellos sirvieron merluza en la cena.,1
Spanish,"Sí, yo como carne.",1
Chinese,一斤猪肉,0
Spanish,Llévamela tú.,0
Spanish,¿Es saludable la res?,1
Italian,il sesto piano,0
English,I'm driving to a wellness retreat next week.,0
English,a gray shirt,0
English,The meat costs twelve dollars.,1
English,Are the pancakes here vegetarian?,0
Italian,Quel bambino è davvero buono.,0
Spanish,Las hamburguesas están listas.,1
Spanish,"Bah, esos zapatos son feos.",0
English,Here is your burger.,1
Spanish,el jamón del sándwich,0
English,Should we bring ketchup for the sausages?,1
Chinese,星期五我们打排球吧!,0
Chinese,鸡蛋、牛奶,0
English,I heard the story.,0
Italian,le cozze al limone,1
English,I'd love to try a cheeseburger.,1
Korean,저는 신선한 고기가 필요해요.,1
Spanish,Yo bebía mucha leche justo antes.,0
English,Do you have any ham?,1
