language,text,true_label
Korean,오월에 백일 잔치를 할 거예요.,1
Chinese,后来我女儿出生了。,1
English,my son's pictures,1
Korean,우리 아들은 사과를 안 좋아해요.,1
English,My girlfriend rented a house on the beach last month.,0
English,We both study at that university.,0
Chinese,他总是带着她的照片。,0
English,I heard that Amy moved to a new apartment.,0
Chinese,我孩子今年念小学。,1
Spanish,Mis hijas tienen dieciocho años.,1
English,My daughter loves chicken.,1
Italian,Mio figlio adora il prosciutto.,1
English,This coffee is good.,0
English,It rains a lot in July.,0
Spanish,"Sí, yo tengo un hermano y un hijo.",1
English,My kids love to run in the gym.,1
Chinese,"对,我的儿子是中学生。",1
Italian,"Sì, ho fatto sci per anni quando ero giovane.",0
Korean,정원에서 남편이랑 커피를 마셨어요.,0
Italian,Sono fiero di presentare la mia ricerca.,0
English,I'd like an island tour!,0
English,I kiss my wife every morning.,0
Italian,"Sugli spaghetti, aggiungi del basilico fresco.",0
Chinese,"女儿,小心!",1
English,"No, my daughter is not happy.",1
Italian,Ero sempre felice durante le vacanze in famiglia.,0
Spanish,"Sí, mi hija es muy inteligente.",1
Korean,우리 이웃은 조용해요.,0
Chinese,我的儿子常常去书店。,1
Spanish,Mi hija solo practica golf.,1
Italian,Ti trucchi sempre per gli eventi speciali?,0
Spanish,El martes a las ocho en punto.,0
Chinese,我的宝宝不喜欢蓝色。,1
English,My mom likes the newspaper.,0
Korean,이 날짜가 좋아요!,0
Spanish,"Sí, yo tengo una hija.",1
Spanish,Pedro es mi hijo.,1
Chinese,我马上有数学课!,0
Spanish,¿Y si todos nos tomamos una semana?,0
Spanish,"Mi hermana es honesta, como nuestra abuela.",0
Italian,Mi aiuti a scaricare quel documento?,0
English,"Yes, my wife likes American food.",0
English,Are you excited to try something new?,0
English,My son's pictures weren't on the fridge.,1
English,"My husband is a pilot, so I travel a lot.",0
Italian,Devo portare la mia siringa all'appuntamento?,0
Spanish,Una araña,0
Spanish,"No, mi novio entrena solo.",0
English,"I like jazz, but my wife likes rock.",0
Spanish,Hago senderismo solo a veces.,0
English,I'm not wearing a low-quality dress at my son's wedding!,1
Chinese,爸爸和妈妈是在公园里第一次见面的。,0
Chinese,"赵小月,你几点起床?",0
English,Does the dishwasher work?,0
Italian,Puoi contattare il tecnico subito?,0
English,My husband cooks the kids' breakfast.,1
Korean,우리 딸은 치마를 안 좋아해요.,1
Spanish,Ahora tenemos tres hijas y nueve nietos.,0
