language,text,true_label
Korean,언니랑 같이 한복을 입을 거예요.,1
Chinese,我弟弟在学校里是最高的!,0
English,My husband often sings at home.,0
Korean,언니가 자꾸 주방을 정리해요.,1
English,I have two children.,0
English,We had a picnic and watched the ducks.,0
Chinese,我们爱我们的孙子。,0
English,"Yes, her dress belongs to me now!",0
Chinese,姐姐什么时候穿韩服?,0
Spanish,Mis nietos tienen más juguetes que yo tenía.,0
English,"Look, cheap drinks!",0
Italian,Mi chiamo Anna e vengo da Milano.,1
English,Tom muted himself again.,0
English,They often cook together.,0
Spanish,mi tarea,0
English,Of course I want these dresses!,0
Chinese,是的，我每天晚上十二点左右睡觉。,0
Italian,Pronto per Natale e per il viaggio?,0
Korean,우리 자리,0
Italian,Senti la sua musica preferita.,0
English,a new program,0
English,My wife wants to live on a farm and buy a cow.,0
Italian,Le nostre scarpe sono comode.,0
Chinese,我们是男孩。,0
English,"Hi, my name is Anna.",1
Italian,Un adulto ha litigato con qualcuno.,0
Spanish,Muchas personas musulmanas asistieron.,0
Korean,왜 친구한테 선물을 줘요?,0
Chinese,妈妈，我出去一下。,0
Spanish,¿Y nuestras calificaciones?,1
Italian,"Ogni Natale, condividevamo le ciliegie.",0
Spanish,¡Tengo clase de matemáticas pronto!,0
Chinese,你好，我叫李天美。,1
English,"Hi, my name is David.",0
Korean,저는 학교에서 프랑스어와 스페인어를 공부해요.,0
Spanish,Yo vivo solo aquí.,0
Spanish,Mi esposa es graciosa.,0
Chinese,我问了他结果。,0
Spanish,Mi novio y yo pintamos en invierno.,0
Spanish,Hablo con el técnico.,0
Italian,Ho visto che ha preso qualcosa dalla borsa.,0
English,"Yes, my wife likes American food.",0
English,Luke will be at work.,0
English,"I am going home this spring, to see my parents.",0
English,This is my dad.,0
Italian,Avrò la valigia pronta domani.,0
Spanish,mi novia,0
Spanish,Somos hombres.,0
English,Did grandma and grandpa meet at the wedding?,0
Spanish,Vamos a jugar afuera.,0
English,"I'm a businessman, so I try to make money!",0
Chinese,是的，我是学生。,0
Chinese,我要搭建一个体育博客。,0
English,You look like my next boyfriend.,0
Italian,Ci siamo divertite molto.,1
English,"Oh, my son also likes green bananas!",0
Korean,여자 친구가 슬퍼서 저도 정말 슬퍼요.,0
Spanish,¿Dónde está mi cartera?,0
English,It's a quarter to three.,0
Spanish,Solo nuestro maestro enseña bien.,0
Spanish,¿Cuántas personas hay aproximadamente?,0
Chinese,母亲的故乡,0
Chinese,喂，是我，李天美。,1
English,Let's ask him later.,0
Spanish,El sostén no es de mi talla.,1
English,my child,0
Italian,Sono uscita presto.,1
Chinese,爷爷的生日在三月吗?,0
Italian,Hanno camminato per ore al centro commerciale.,0
English,My boyfriend and I watched an Italian movie.,0
Chinese,敏俊在手上贴了创可贴。,0
Spanish,Le voy a preguntar a mi amigo sobre su horario de mañana.,0
English,I am Lisa.,1
English,This girl loves me.,0
Italian,Troviamo la musica troppo forte.,0
Korean,아빠는 구두를 안 좋아해요.,0
Korean,그 브이로그는 정말 지루해요.,0
Italian,Sono tornata in azienda.,1
Spanish,"Mira, tengo otro mensaje.",0
Chinese,皮特和哥哥是哪个级别?,0
English,"I'm a businesswoman, so I understand business!",1
English,My wife swims every day.,0
Korean,저는 보라예요!,0
Chinese,我是我父母的女儿。,1
Chinese,我和妻子愉快地吃了饭。,0
English,My wife has swum across every ocean in the world!,0
Korean,할아버지랑 같이 가요.,0
Chinese,我的丈夫在晚上听到奇怪的噪声。,0
Spanish,"Antes de conocer a mi marido, vivía sola.",1
English,Can you look the location up on your phone?,0
Korean,저는 일요일마다 할머니와 점심을 먹습니다.,0
Chinese,我哥哥是大学生。,0
Spanish,Pedro es mi hijo.,0
Korean,"민준 씨, 잡채 드릴까요?",0
Spanish,¿Memorizaste toda esa información solo?,0
Chinese,面包很热。,0
Italian,Siamo diventate amiche.,1
Italian,Un giorno riceverai questo orologio.,0
Korean,"할머니, 저 사람이 전 남자친구인가요?",0
English,My husband has tried a lot of rare food in his life.,0
Korean,형의 책,0
Spanish,Me siento un poco mareada sentada aquí.,1
English,"I was busy on the eighth, but my wife was at his party.",0
English,My wife is a sweet woman.,0
Spanish,"Desafortunadamente, mis nietos viven lejos.",0
English,My husband is home with our kids right now.,0
English,I paid a lot.,0
Spanish,mi abuela,0
Italian,Nessuna di noi vuole pagare per questo.,1
Chinese,姐姐是老师。,0
Spanish,A mi papá le gustan las flores.,0
Italian,Sono andato spesso a ovest di Roma.,0
Chinese,是三点半。,0
Italian,Comprerò il divano di seconda mano se mi aiuti.,0
Chinese,你最好坐高铁来成都。,0
English,Do you want whipped cream on your pie?,0
English,I was reading the letter that she had sent me three days earlier.,0
Chinese,前天我在加班，我老婆在逛街。,0
Chinese,可惜我的孙子住得很远。,0
Chinese,我和妻子在冰箱前跳舞。,0
Spanish,Creyeron que el informe no mintió.,0
Spanish,Ahora estamos relajadas.,1
English,"I love you too, mom.",0
Chinese,我的父母是西班牙人。,0
English,my new university,0
Spanish,"Necesito un cuchillo, por favor.",0
Italian,Ci siamo divertite tanto insieme.,1
Chinese,爸爸认真地在洗碗。,0
Spanish,Este es mi papá.,0
Korean,버스가 제 정류장을 지나가서요.,0
Chinese,你好，波拉!,0
Spanish,¿Lo encontraste por casualidad en tu cuarto?,0
Chinese,我叫艾丽卡!,1
