language,text,true_label
Korean,고기를 피해야 한다.,1
Chinese,贵的鱼,0
English,Let's watch one episode.,0
Korean,길레르미도 채식주의자입니다.,0
English,They're at the airport now.,0
English,Let's sit near the screen.,0
Chinese,院子在哪里?,0
English,We would protest for better conditions.,0
Chinese,"不用了,我不吃肉。",1
Spanish,Volveré de nuevo si siento dolor.,0
English,"Are these pancakes vegetarian, Dad?",1
Italian,Paul e io siamo vegetariani.,1
English,Are you a vegetarian?,0
English,I would advise you to protest for your rights.,0
Spanish,¿Eres fan de esa actriz?,0
English,"Oh, I'm sorry!",0
Chinese,海鲜餐馆关闭。,0
Italian,le cozze del mercato,0
Korean,아기는 언제 뒤집을 수 있어요?,0
Italian,il modo giusto,0
English,Is basketball your favorite sport?,0
English,Is that burger vegetarian?,1
Italian,Devo riparare il pulsante rotto.,0
Chinese,我没事吧。,0
English,Are the pancakes here vegetarian?,1
Italian,Non la prendere!,0
Spanish,"¡Oh no, la sopa no es vegetariana!",1
Korean,"돼지고기가 들어 있다면, 안 돼요.",0
Chinese,我从来不吃肉。,1
Spanish,No como cerdo porque soy vegetariano.,1
Italian,causare problemi,0
Spanish,"Cuando era niño, el atún me parecía horrible.",0
Chinese,我不吃肉。,1
English,I can't see the board from this seat!,0
Korean,저는 친구랑 대화해요.,0
Spanish,¿Tienen opciones veganas en el menú?,1
Spanish,Soy vegetariano.,1
Chinese,彼得和安娜互相帮助了。,0
Spanish,Mi mamá preparaba atún y yo lo evitaba.,0
Spanish,"Viste el collar de oro, ¿verdad?",0
Italian,Sono sicuro che la poliziotta ha visto tutto.,0
English,They can't hear her either.,0
English,"Chicken is not vegetarian food, Tom.",0
English,"Unmute yourself before you speak, please.",0
English,fruit salad with whipped cream,0
Italian,"Questo libro è meglio qui, con me.",0
Spanish,A todos nos gusta la educación pública.,0
Spanish,¡Ayúdame!,0
English,We'll make some steaks.,0
Spanish,Esta tradición es muy antigua.,0
English,Why is my foot so red?,0
Chinese,请不要在商店里跑。,0
Chinese,"好啊,我们星期天去钓鱼吧。",0
English,Hockey is a very fast sport.,0
Italian,Non voglio tacchino nelle mie insalate.,0
English,It is a vegetarian cheese puff.,0
Korean,손님 앞에서 뛰지 마세요.,0
Spanish,Es muy irresponsable.,0
English,Everyone at the protest is against the mayor's decision.,0
Spanish,Estoy tranquilo porque no son las seis.,0
Spanish,"Diego es tímido, ¿verdad?",0
Chinese,我的狗也非常生气!,0
Chinese,菜单上有纯素选项吗?,1
English,"Luc left first, accompanied by the police.",0
Spanish,Casi siempre cocino vegano.,1
English,Some police arrived.,0
Italian,Questo non sembra vegetariano!,1
Chinese,"电梯坏了,我不能上去。",0
Italian,Lei ha una borsa dorata.,0
English,This laptop has many problems!,0
Chinese,泰国菜非常有名!,0
Spanish,"No, no hay un reloj aquí.",0
English,"Max wanted to have me over for dinner, but I didn't go. He's nice, but I prefer Ben. Also, I'm a vegetarian and Max eats meat.",1
English,I missed the meeting on Tuesday.,0
Italian,Ho letto un libro sulla storia della frittata.,0
Korean,방을 꼭 잠그고 싶어요.,0
Korean,된장찌개를 끓일 거예요.,0
Italian,"Nel negozio, c'è un ingrediente vegetariano?",1
Spanish,Tuvimos que llamar a emergencias.,0
Chinese,我们要不要在水疗中心旁边等呢?,0
English,I am vegetarian.,1
English,I'll make the sausages before we leave.,0
Korean,알렉스와 나는 항상 비건 음식을 먹어요.,1
Chinese,Alex和我总是吃纯素的。,1
Chinese,我不吃猪肉。,0
English,I have a stomachache because I took medicine.,0
Korean,교실이 더워서 싫었어요.,0
Chinese,"还没有,怎么办?",0
Spanish,"Soy vegetariana, como mi mamá.",1
English,The police are after me.,0
Korean,야옹 씨는 요즘 생선만 먹어요.,0
Chinese,在家前面吵架了。,0
Spanish,No vi a nadie abrir mis regalos.,0
Korean,"아주머니, 제 사촌은 조심했어요.",0
Spanish,¿Cuándo es probable recibir noticias?,0
Chinese,他的手术需要多久?,0
Italian,Voglio qualcosa di vegano da mangiare.,1
Italian,meglio insieme,0
Korean,제가 바지를 입어볼래요.,0
English,Is anything happening?,0
Korean,배는 괜찮아요?,0
Spanish,Buscamos un menú vegano.,1
English,Is this pizza vegetarian?,1
English,I'd love to try a cheeseburger.,0
Spanish,Nuestro candidato escucha tanto como habla.,0
English,We usually buy vegetarian food.,1
English,Did you go to the protest?,0
Spanish,La luna se ve diferente aquí.,0
Italian,"Non posso mangiare questo, non è vegano.",1
Chinese,几点喝咖啡?,0
Spanish,Ella sabe tanto como él sobre política.,0
Italian,Il nonno ha bisogno di qualcosa per il suo mal di denti.,0
Chinese,请不要使用那样的话。,0
Italian,Le ho assaggiate una volta.,0
Chinese,是安全的地方吗?,0
English,"No way, basketball is too hard!",0
English,Will you call the front desk?,0
Chinese,我们应该往右走。,0
Chinese,这周的星期六一起出去好吗?,0
Chinese,我的教授还没写好推荐信。,0
Spanish,¿Cuándo miente más la gente?,0
Spanish,Yo nunca como carne.,1
English,We prepare vegetarian dishes.,1
Chinese,我在日本有很多有趣的经历。,0
English,several patients,0
Spanish,¿Qué ayuda en la recuperación?,0
Italian,Dove posso ordinare una pizza vegetariana?,1
Chinese,我的男朋友是英国人。他来自伦敦。,0
Spanish,El pescado está en el congelador.,0
Korean,이상한 상품이 집에 도착했어요.,0
Chinese,"哎呀,我没告诉爷爷!",0
Spanish,El médico dijo que el hueso mejora.,0
Chinese,"保罗和我,我们是素食者。",1
Spanish,"Sí, le encanta vivir en Francia.",0
Spanish,¿Tú qué opinas de eso?,0
Spanish,las hamburguesas,0
Korean,우리는 오늘 조심했어요?,0
Chinese,我是素食者。,1
Korean,삶은 계란도 있어요!,0
Chinese,晚上体育馆很热闹。,0
English,My boss loves baseball.,0
Spanish,Necesito el libro de Diego.,0
Chinese,卧室里有两张床吗?,0
Spanish,"No, ella no es vegetariana.",0
Spanish,¿Todas las tareas son urgentes?,0
Chinese,邮票,0
English,Why is there trash on the floor?,0
Spanish,Paul y yo somos vegetarianos.,1
Spanish,Antes votaban menos que ahora.,0
Italian,"Sono vegetariana, come mia madre.",1
English,My sandwich is vegetarian.,1
Chinese,我不认识他。,0
Chinese,最近猫连鸡肉都不吃。,0
Spanish,¿Cuánto cuesta reparar un refrigerador?,0
English,Does the store have vegetarian ingredients?,1
Spanish,El policía me habría capturado.,0
Spanish,No como carne.,1
English,What's your plan for the weekend?,0
Chinese,他不在巴西留学了。,0
Italian,Quando vi piace partire per il viaggio?,0
Italian,La sua borsa è perfetta per una cena di sushi.,0
Korean,폴과 나는 채식주의자예요.,1
Chinese,你好吗?,0
Spanish,Dicen que la economía mejora.,0
Italian,"Mi dispiace, siamo solo vegetariani.",1
English,They do not like the government.,0
Italian,i gamberi non sono buoni,0
Spanish,El ministro y su equipo llegaron tarde.,0
Spanish,"Desde el lunes, he escuchado ratas por la noche.",0
Korean,우리는 이웃이랑 케이크도 나눴어요.,0
English,I've muted everyone.,0
English,We never travel by bus.,0
Spanish,"De todas maneras, ella ha probado comida exótica.",0
English,"High heels look gorgeous, but they're so uncomfortable!",0
Spanish,"Los platos están sucios, ¡qué horrible!",0
Chinese,你应该放松一下。,0
English,When did you hurt your leg?,0
Korean,요즘 고양이가 닭고기도 안 먹어요.,0
English,When did you call the ambulance?,0
English,He's always complaining!,0
English,Good morning!,0
Spanish,"Hace tres horas, vi al nieto comiendo pastel.",0
Spanish,Ella dijo una anécdota graciosa.,0
Spanish,¡Béisbol no!,0
English,I would like some tape.,0
Spanish,El plan ofrece más que simples soluciones.,0
Chinese,这个订单是你的吗?,0
Korean,초등학교 때 형이랑 한식당에 자주 갔어요.,0
Chinese,"你好,早",0
Spanish,¿Cuántas papas cocinas todos los días?,0
Spanish,"Hace dos horas, pasó algo gracioso.",0
Spanish,¿Alguien quiere más pastel?,0
Italian,Prepariamo piatti vegetariani.,1
English,Ms. Jones was my biology teacher.,0
Chinese,你应该少喝咖啡。,0
Chinese,"他们叫警察的时候,我特别害怕。",0
Chinese,"考试的时候,我常常很紧张。",0
Italian,"Questa salsa non è vegetariana, che peccato!",1
Chinese,"糟糕,我没参加考试!",0
Chinese,谁发了很大的火?,0
Spanish,¿Necesitas unos huevos para el almuerzo?,0
Korean,저는 고기를 안 먹어요.,1
Chinese,动漫是日本的文化。,0
Korean,"네, 저는 비건 요리를 즐겁게 합니다.",0
Chinese,我没拿着手机。,0
Spanish,¿Eres desorganizado con tus notas?,0
English,I'll make sure she's OK.,0
English,"I am a vegetarian, but my boyfriend loves beef.",1
Chinese,她喜欢音乐课。,0
Spanish,Conocimos a los DJ en la boda.,0
Korean,"네, 야구 경기장은 근처에 있어요.",0
Spanish,Preparamos platos vegetarianos.,1
Spanish,"Si vamos al cine, yo compro las entradas.",0
Chinese,"椅子之间的距离太窄了,很不舒服。",0
Chinese,经理不喜欢懒惰的员工。,0
Spanish,Nos encantaba la carne de esa carnicería.,0
Italian,Io sono vegetariano.,1
Chinese,这是民俊的瓶子。,0
Italian,Devi dirglielo subito.,0
Chinese,冲绳的章鱼饭便宜吗?,0
Italian,Sono vegana da dieci anni.,1
Spanish,"Gracias, ¡pero yo odio la carne!",0
Chinese,我是全素者十年了。,1
Spanish,Es importante para mí beber agua natural.,0
Spanish,"Vamos, yo conozco a un médico.",0
Spanish,No terminé por los trescientos mensajes de error.,0
Spanish,¡Mi amigo ha cocinado hormiga!,0
Italian,una spezia per il pollo,0
English,Guilherme is vegetarian too.,0
Korean,저는 고기를 절대 먹지 않아요.,1
Spanish,"¿En la tienda, tienen ingredientes vegetarianos?",1
Korean,오늘은 수영장에 가요!,0
Korean,가게 안에 쓰레기를 두지 마세요.,0
English,What do you know about fashion?,0
Spanish,¿Entraste sin problema?,0
Italian,Non mangio carne.,1
Korean,이것은 채식주의자용 치즈빵입니다.,0
Italian,"Oh no, la zuppa non è vegetariana!",1
